coin	hourly	change	granular	time_stamp
Nano	-1.2	negative	chilly (-0-2%)	2021-06-27T10:15:09Z
Decentraland	-1.8	negative	chilly (-0-2%)	2021-06-27T10:15:09Z
Qtum	-1.1	negative	chilly (-0-2%)	2021-06-27T10:15:09Z
DigiByte	-0.7	negative	chilly (-0-2%)	2021-06-27T10:15:09Z
cUSDT	0.7	positive	luke warm (0-2%)	2021-06-27T10:15:09Z
KuCoin Token	0.3	positive	luke warm (0-2%)	2021-06-27T10:15:09Z
Pirate Chain	-1.4	negative	chilly (-0-2%)	2021-06-27T10:15:09Z
Ontology	-0.4	negative	chilly (-0-2%)	2021-06-27T10:15:09Z
Fantom	-0.7	negative	chilly (-0-2%)	2021-06-27T10:15:09Z
coin	hourly	change	granular	time_stamp
Bitcoin	-0.4	negative	chilly (-0-2%)	2021-06-27T10:30:07Z
Ethereum	-0.3	negative	chilly (-0-2%)	2021-06-27T10:30:07Z
Tether	0	negative	neutral (0%)	2021-06-27T10:30:07Z
Binance Coin	0	negative	neutral (0%)	2021-06-27T10:30:07Z
Cardano	-0.5	negative	chilly (-0-2%)	2021-06-27T10:30:07Z
Dogecoin	-0.2	negative	chilly (-0-2%)	2021-06-27T10:30:07Z
XRP	-0.1	negative	chilly (-0-2%)	2021-06-27T10:30:07Z
USD Coin	0.7	positive	luke warm (0-2%)	2021-06-27T10:30:07Z
Polkadot	-0.3	negative	chilly (-0-2%)	2021-06-27T10:30:07Z
Binance USD	0.6	positive	luke warm (0-2%)	2021-06-27T10:30:07Z
Bitcoin Cash	-0.3	negative	chilly (-0-2%)	2021-06-27T10:30:07Z
Litecoin	0.4	positive	luke warm (0-2%)	2021-06-27T10:30:07Z
Uniswap	-0.6	negative	chilly (-0-2%)	2021-06-27T10:30:07Z
Solana	0.5	positive	luke warm (0-2%)	2021-06-27T10:30:07Z
Chainlink	-0.3	negative	chilly (-0-2%)	2021-06-27T10:30:07Z
Polygon	-0.8	negative	chilly (-0-2%)	2021-06-27T10:30:07Z
Theta Network	-1.4	negative	chilly (-0-2%)	2021-06-27T10:30:07Z
Wrapped Bitcoin	-0.6	negative	chilly (-0-2%)	2021-06-27T10:30:07Z
Stellar	-1	negative	chilly (-0-2%)	2021-06-27T10:30:07Z
Ethereum Classic	0.2	positive	luke warm (0-2%)	2021-06-27T10:30:07Z
Dai	0	negative	neutral (0%)	2021-06-27T10:30:07Z
VeChain	-0.1	negative	chilly (-0-2%)	2021-06-27T10:30:07Z
TRON	-0	negative	neutral (0%)	2021-06-27T10:30:07Z
Filecoin	0.7	positive	luke warm (0-2%)	2021-06-27T10:30:07Z
Internet Computer	-1	negative	chilly (-0-2%)	2021-06-27T10:30:07Z
