coin	hourly	change	granular	time_stamp
Liquity USD	-0.5	negative	chilly (-0-2%)	2021-06-26T21:30:07Z
Near	-0.5	negative	chilly (-0-2%)	2021-06-26T21:30:07Z
Basic Attention Token	-0.6	negative	chilly (-0-2%)	2021-06-26T21:30:07Z
XDC Network	-1.1	negative	chilly (-0-2%)	2021-06-26T21:30:07Z
NEXO	3.3	positive	warm (2-4%)	2021-06-26T21:30:07Z
Bitcoin Gold	-2.5	negative	cold (-2-4%)	2021-06-26T21:30:07Z
Stacks	1.4	positive	luke warm (0-2%)	2021-06-26T21:30:07Z
HUSD	-0	negative	neutral (0%)	2021-06-26T21:30:07Z
Bancor Network Token	-0.2	negative	chilly (-0-2%)	2021-06-26T21:30:07Z
Horizen	-0.2	negative	chilly (-0-2%)	2021-06-26T21:30:07Z
Decentraland	0	negative	neutral (0%)	2021-06-26T21:30:07Z
cUSDT	0.2	positive	luke warm (0-2%)	2021-06-26T21:30:07Z
DigiByte	-0.4	negative	chilly (-0-2%)	2021-06-26T21:30:07Z
Nano	-0.5	negative	chilly (-0-2%)	2021-06-26T21:30:07Z
Harmony	-0.6	negative	chilly (-0-2%)	2021-06-26T21:30:07Z
Qtum	-0.6	negative	chilly (-0-2%)	2021-06-26T21:30:07Z
Celo	4.4	positive	toasty (4-6%)	2021-06-26T21:30:07Z
KuCoin Token	-1.6	negative	chilly (-0-2%)	2021-06-26T21:30:07Z
Fantom	0.4	positive	luke warm (0-2%)	2021-06-26T21:30:07Z
Pirate Chain	-1	negative	chilly (-0-2%)	2021-06-26T21:30:07Z
coin	hourly	change	granular	time_stamp
Bitcoin	-0.2	negative	chilly (-0-2%)	2021-06-26T21:45:11Z
Ethereum	-0.1	negative	chilly (-0-2%)	2021-06-26T21:45:11Z
Tether	0.3	positive	luke warm (0-2%)	2021-06-26T21:45:11Z
Binance Coin	-0.2	negative	chilly (-0-2%)	2021-06-26T21:45:11Z
Cardano	0.2	positive	luke warm (0-2%)	2021-06-26T21:45:11Z
Dogecoin	-0	negative	neutral (0%)	2021-06-26T21:45:11Z
XRP	-0.1	negative	chilly (-0-2%)	2021-06-26T21:45:11Z
USD Coin	-0	negative	neutral (0%)	2021-06-26T21:45:11Z
Polkadot	0.4	positive	luke warm (0-2%)	2021-06-26T21:45:11Z
Binance USD	0.1	positive	luke warm (0-2%)	2021-06-26T21:45:11Z
Bitcoin Cash	0.1	positive	luke warm (0-2%)	2021-06-26T21:45:11Z
Litecoin	0.2	positive	luke warm (0-2%)	2021-06-26T21:45:11Z
Uniswap	-0.4	negative	chilly (-0-2%)	2021-06-26T21:45:11Z
Solana	-0.6	negative	chilly (-0-2%)	2021-06-26T21:45:11Z
Chainlink	0.2	positive	luke warm (0-2%)	2021-06-26T21:45:11Z
Polygon	-1	negative	chilly (-0-2%)	2021-06-26T21:45:11Z
